DPTO,NOMBRE_DPT,Conteo_Nacimientos
5,ANTIOQUIA,74370
8,ATLANTICO,41972
11,SANTAFE DE BOGOTA D.C,114013
13,BOLIVAR,32369
15,BOYACA,15465
17,CALDAS,9681
18,CAQUETA,6932
19,CAUCA,15712
20,CESAR,20540
23,CORDOBA,26385
25,CUNDINAMARCA,21589
27,CHOCO,5051
41,HUILA,20087
44,LA GUAJIRA,15925
47,MAGDALENA,22202
50,META,15473
52,NARIÑO,18172
54,NORTE DE SANTANDER,20409
63,QUINDIO,6120
66,RISARALDA,11331
68,SANTANDER,30573
70,SUCRE,15324
73,TOLIMA,16155
76,VALLE DEL CAUCA,52272
81,ARAUCA,4410
85,CASANARE,5972
86,PUTUMAYO,3825
88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,848
91,AMAZONAS,1340
94,GUAINIA,660
95,GUAVIARE,1178
97,VAUPES,509
99,VICHADA,657
