ID,Tiempo,Cantidad
1,Ene-2016,54754
2,Feb-2016,50794
3,Mar-2016,54837
4,Abr-2016,53077
5,May-2016,54056
6,Jun-2016,52369
7,Jul-2016,53678
8,Ago-2016,56761
9,Sep-2016,58160
10,Oct-2016,53541
11,Nov-2016,51871
12,Dic-2016,53623
13,Ene-2017,52314
14,Feb-2017,47928
15,Mar-2017,55048
16,Abr-2017,53319
17,May-2017,55065
18,Jun-2017,53234
19,Jul-2017,55606
20,Ago-2017,57176
21,Sep-2017,59001
22,Oct-2017,57274
23,Nov-2017,55373
24,Dic-2017,55366
25,Ene-2018,53950
26,Feb-2018,47520
27,Mar-2018,53514
28,Abr-2018,51752
29,May-2018,53655
30,Jun-2018,51465
31,Jul-2018,53847
32,Ago-2018,56234
33,Sep-2018,58759
34,Oct-2018,57249
35,Nov-2018,55512
36,Dic-2018,55658
